methodology_type,dataset_name,bias_classes,fairness_metrics,main_results,limitations,evaluation_scenario,fairness_definitions,software_library,future_work,main_contribution,filename
Review,['Not explicitly mentioned'],"['Race', 'Gender', 'Age', 'Socioeconomic status']","['Equalized Odds', 'Demographic Parity', 'Scalable fairness auditing']","This study provides a comprehensive review of bias in AI, ML, and DL models, analyzing its sources, detection methods, and bias mitigation strategies.","Gaps persist in holistic mitigation frameworks, necessitating a comprehensive review that bridges technical methods, ethical implications, and regulatory compliance.",Real-world,"['Group', 'Individual', 'Counterfactual']",['Not explicitly mentioned'],"Scalability, federated AI, interdisciplinary solutions","This study provides a comprehensive review of bias in AI, ML, and DL models, integrating a full lifecycle perspective on bias with a deep interdisciplinary synthesis.",s11831-025-10483-6.pdf
Not explicitly mentioned,['Not explicitly mentioned'],"['Racial/Gender', 'Age']",['Not explicitly mentioned'],['Not explicitly mentioned'],"['Regulatory reaction has mostly been reactive, as it tries to catch up with rapidly advancing progress in artificial intelligence...']",Real,"['Group', 'Individual']","['Fairlearn', 'PyTorch']",['Prioritizing technology over human input from these groups risks repeating past mistakes and impedes true innovation.'],This review considers twelve key aspects of AI in clinical practice...,1-s2.0-S0009898123003212-main.pdf
GAN,Electronic Health Records (EHRs),Not explicitly mentioned,Not explicitly mentioned,The proposed framework generates realistic and privacy-preserved EHRs.,"Challenges remain due to longitudinal and temporal aspects, data heterogeneity, sparsity, and skewed distributions.",Real,Not explicitly mentioned,"Autoencoder, GAN, graph neural networks (GNNs), graph convolutional transformers (GCTs)",To outperform previous methods in terms of fidelity and privacy aspects.,Proposing a domain knowledge-driven framework for generating synthetic EHRs.,SHTI-302-SHTI230136.pdf
Structured synthetic data framework,"['Multi-site clinical datasets', 'Real-world multi-site datasets']","['Site-speciﬁc variations', 'Hierarchical subgroup effects', 'Demographic factors (e.g., age, sex)']","['Equalized Odds', 'Demographic Parity', 'Generalisability']","[""Demonstrated the framework's ability to isolate the impact of site variations, support fairness-aware audits, and reveal generalisation failures""]","['Real data access is often limited by privacy restrictions, data-sharing limitations, cost, inherent biases']",Synthetic,"['Group', 'Individual', 'Counterfactual']",['Not explicitly mentioned'],['Directions for subsequent study: exploring the relationship between model complexity and generalisability across sites'],"Proposed a structured synthetic data framework designed to enable explicit control over key factors influencing model generalisability, including site-speciﬁc variations, hierarchical subgroup effects, and feature interactions.",Bridging_the_Generalisation_Gap_Synthetic_Data_Generation_for_Multi-Site_Clinical_Model_Validation.pdf
GAN,['MIMIC-III'],"['correlation biases', 'representation fairness']","['representation fairness', 'Partial Recall']",['state-of-the-art accuracy while significantly improving fairness and minimizing bias amplification'],"['existing synthetic data generation methods have explored concepts of accuracy, utility, and privacy, but paid less attention to fairness']",Real,"['Group', 'Individual', 'Counterfactual']",['GANs'],['Directions for subsequent study: Investigate the impact of Bt-GAN on other healthcare-related tasks and domains.'],Developing a principled GAN framework for synthetic healthcare data generation with guaranteed fairness in the target,jair.1.15317.pdf
LLM-augmented Synthetic Data Generation,Real-world health data,"['Race', 'Gender']","['Total effect (TV)', 'Direct effect (DE)', 'Indirect effect (IE)', 'Spurious effect (SE)']","Generated synthetic data deviates by less than 10% from real data on causal fairness metrics. When trained on causally fair predictors, synthetic data reduces bias on the sensitive attribute by 70% compared to real data.",Not explicitly mentioned,Real,"['Group', 'Individual', 'Counterfactual']",LLMs (Large Language Models),"Directions for subsequent study: further evaluate and refine the proposed pipeline, explore its applications to other domains, and investigate potential biases in the generated synthetic data.",Developed the first LLM-augmented synthetic data generation method to enhance causal fairness using real-world tabular health data.,FairCauseSyn_Towards_Causally_Fair_LLM-augmented_Synthetic_Data_Generation.pdf
AI/ML-based strategies,Not explicitly mentioned,"['Gender', 'Age', 'Race', 'Ethnicity', 'Socioeconomic status']","['Equalized Odds', 'Demographic Parity', 'Stratified Randomization']",Not explicitly mentioned,Persistent gaps in representation undermine the validity and fairness of clinical trials.,Real-world data evaluation,"['Group Fairness', 'Individual Fairness', 'Counterfactual Fairness']","Fairlearn, PyTorch (not explicitly mentioned)",Directions for subsequent study: Developing and validating the AI/ML-driven framework.,"Proposes an AI/ML-based framework aimed at operationalizing equity, diversity, and inclusion in clinical research.",s13063-026-09537-2.pdf
Data-Centric Strategy,Not explicitly mentioned,"['Gender', 'Race', 'Age']","['Equalized Odds', 'Demographic Parity']",Experiments on four benchmark datasets show that FairData consistently reduces group disparities across diverse architectures while maintaining competitive predictive performance.,"Prior work is largely model-centric, improving fairness via specialized loss functions or architectural modifications, which can introduce additional training overhead and hinder deployment in modular or rapidly evolving pipelines.",Real,Group,Not explicitly mentioned,Directions for subsequent study: ... fairness-aware dataset optimization as a practical complement to model-specific fairness techniques.,"We propose FairData, which synthesizes a fair training dataset by optimizing a gradient-matching objective that aligns the training dynamics of a randomly initialized model on the synthetic data with those on the original data, while explicitly regularizing for group fairness.",3773966.3778010.pdf
Not explicitly mentioned,"['MIMIC-III', 'Adult']",[],['Not explicitly mentioned'],['Not explicitly mentioned'],['Verifying the reliability of synthetic data and reducing bias within algorithms'],Real,"['Group', 'Individual', 'Counterfactual']","['Fairlearn', 'PyTorch']",['Advancing generative models and developing personalized with cross-domain synthetic data'],Providing a comprehensive overview of synthetic data generation approaches for diabetes applications,A_Survey_on_Synthetic_Data_Generation_for_Diabetes_Applications.pdf
Synthetic data-augmentation,Real-world health data (multiple datasets not specified),"['Gender', 'Ethnicity']","['Equalized Odds', 'Demographic Parity']",SMA produces the closest results to the ground truth in low to medium bias (50% or less missing proportion).,No specific method consistently outperformed others in high bias scenarios (80% or more missing proportion),Real-world health data evaluation,Group fairness,Not explicitly mentioned,"Directions for subsequent study: rebalancing schemes such as random undersampling (RUS) and random oversampling (ROS) are quite attractive, as they allow researchers to reconstruct balanced datasets a priori before any modeling effort.",Evaluating different bias-mitigating approaches in real-world health data.,1-s2.0-S266638992400045X-main.pdf
